date,close,r
9/1/2021,"1,426.94",-0.0012
8/31/2021,"1,428.66",-0.0017
8/30/2021,"1,431.05",0.0088
8/27/2021,"1,418.57",0.0043
8/26/2021,"1,412.45",-0.0112
8/25/2021,"1,428.51",0.0072
8/24/2021,"1,418.26",0.0044
8/23/2021,"1,412.00",-0.0265
8/20/2021,"1,450.45",-0.0363
8/19/2021,"1,505.01",0.0104
8/18/2021,"1,489.54",-0.0031
8/17/2021,"1,494.12",-0.0044
8/16/2021,"1,500.77",0.0111
8/13/2021,"1,484.25",0.0049
8/12/2021,"1,477.06",-0.0073
8/11/2021,"1,487.91",-0.0043
8/10/2021,"1,494.41",-0.0023
8/9/2021,"1,497.83",0.0142
8/6/2021,"1,476.79",-0.0065
8/5/2021,"1,486.46",0.0097
8/4/2021,"1,472.20",0.0016
8/3/2021,"1,469.87",0.0150
8/2/2021,"1,448.21",0.0007
7/30/2021,"1,447.23",0.0138
7/29/2021,"1,427.55",0.0142
7/28/2021,"1,407.50",-0.0017
7/27/2021,"1,409.85",0.0042
7/26/2021,"1,403.96",0.0017
7/23/2021,"1,401.53",-0.0189
7/22/2021,"1,428.48",0.0156
7/21/2021,"1,406.54",-0.0032
7/20/2021,"1,411.02",0.0268
7/19/2021,"1,374.15",-0.0444
7/16/2021,"1,438.05",0.0054
7/15/2021,"1,430.29",0.0142
7/14/2021,"1,410.30",-0.0212
7/13/2021,"1,440.87",-0.0015
7/12/2021,"1,443.10",-0.0343
7/9/2021,"1,494.43",-0.0176
7/8/2021,"1,521.21",-0.0114
7/7/2021,"1,538.77",0.0338
7/6/2021,"1,488.42",-0.0443
7/5/2021,"1,557.41",0.0018
7/2/2021,"1,554.59",0.0061
7/1/2021,"1,545.14",0.0106
6/30/2021,"1,529.00",-0.0006
6/29/2021,"1,529.97",0.0056
6/28/2021,"1,521.41",0.0141
6/25/2021,"1,500.30",0.0090
6/24/2021,"1,486.96",-0.0017
6/23/2021,"1,489.53",0.0002
6/22/2021,"1,489.24",0.0074
6/21/2021,"1,478.29",-0.0020
6/18/2021,"1,481.30",0.0133
6/17/2021,"1,461.91",-0.0025
6/16/2021,"1,465.58",-0.0144
6/15/2021,"1,487.04",-0.0057
6/14/2021,"1,495.51",0.0053
6/11/2021,"1,487.61",0.0251
6/10/2021,"1,451.18",-0.0045
6/9/2021,"1,457.76",0.0131
6/8/2021,"1,438.97",-0.0304
6/7/2021,"1,484.10",-0.0161
