days,vnindex,vn30index,tbill
17/8/2021,1363.09,1494.12,0.421
16/8/2021,1370.96,1500.77,0.42
13/8/2021,1357.05,1484.25,0.42
12/8/2021,1353.05,1477.06,0.42
11/8/2021,1357.79,1487.91,0.42
10/8/2021,1362.43,1494.41,0.42
9/8/2021,1359.86,1497.83,0.42
6/8/2021,1341.45,1476.79,0.424
5/8/2021,1345.55,1486.46,0.425
4/8/2021,1334.74,1472.2,0.414
3/8/2021,1332.44,1469.87,0.393
2/8/2021,1314.22,1448.21,0.452
30/7/2021,1310.05,1447.23,0.453
29/7/2021,1293.6,1427.55,0.453
28/7/2021,1277.07,1407.5,0.454
27/7/2021,1276.93,1409.85,0.454
26/7/2021,1272.71,1403.96,0.456
23/7/2021,1268.83,1401.53,0.457
22/7/2021,1293.67,1428.48,0.454
21/7/2021,1270.79,1406.54,0.454
20/7/2021,1273.29,1411.02,0.454
19/7/2021,1243.51,1374.15,0.464
16/7/2021,1299.31,1438.05,0.464
15/7/2021,1293.92,1430.29,0.464
14/7/2021,1279.91,1410.3,0.464
13/7/2021,1297.54,1440.87,0.463
12/7/2021,1296.3,1443.1,0.464
9/7/2021,1347.14,1494.43,0.464
8/7/2021,1374.68,1521.21,0.464
7/7/2021,1388.55,1538.77,0.464
6/7/2021,1354.79,1488.42,0.48
5/7/2021,1411.13,1557.41,0.52
2/7/2021,1420.27,1554.59,0.52
1/7/2021,1417.08,1545.14,0.52
30/6/2021,1408.55,1529,0.49
29/6/2021,1410.04,1529.97,0.5
28/6/2021,1405.81,1521.41,0.498
25/6/2021,1390.12,1500.3,0.487
24/6/2021,1379.72,1486.96,0.489
23/6/2021,1376.87,1489.53,0.483
22/6/2021,1379.97,1489.24,0.484
21/6/2021,1372.63,1478.29,0.495
18/6/2021,1377.77,1481.3,0.499
17/6/2021,1359.92,1461.91,0.512
16/6/2021,1356.52,1465.58,0.51
15/6/2021,1367.36,1487.04,0.511
14/6/2021,1361.72,1495.51,0.51
11/6/2021,1351.74,1487.61,0.512
10/6/2021,1323.58,1451.18,0.513
9/6/2021,1332.9,1457.76,0.512
8/6/2021,1319.88,1438.97,0.513
7/6/2021,1358.78,1484.1,0.514
4/6/2021,1374.05,1508.35,0.516
3/6/2021,1364.28,1504.37,0.517
2/6/2021,1340.78,1478.85,0.483
1/6/2021,1337.78,1482.92,0.529
31/5/2021,1328.05,1474.78,0.642
28/5/2021,1320.46,1458.78,0.601
27/5/2021,1303.57,1437.38,0.633
26/5/2021,1316.7,1455.11,0.415
25/5/2021,1308.58,1444.01,0.422
24/5/2021,1297.98,1430.48,0.422
21/5/2021,1283.93,1425.04,0.423
20/5/2021,1278.22,1424.92,0.425
19/5/2021,1262.49,1401.71,0.425
18/5/2021,1252.68,1378.59,0.414
17/5/2021,1258.7,1371.36,0.374
14/5/2021,1266.36,1380.02,0.409
13/5/2021,1261.99,1370.18,0.409
12/5/2021,1269.09,1380.17,0.386
11/5/2021,1256.04,1359.19,0.388
10/5/2021,1259.58,1370.66,0.388
7/5/2021,1241.81,1340.73,0.39
6/5/2021,1250.57,1344.64,0.385
5/5/2021,1256.43,1346.89,0.385
4/5/2021,1242.2,1328.03,0.392
29/4/2021,1239.39,1312.28,0.38
28/4/2021,1229.55,1294.06,0.385
27/4/2021,1219.75,1283.81,0.394
26/4/2021,1215.77,1275.04,0.377
23/4/2021,1248.53,1301.39,0.388
22/4/2021,1227.82,1271.53,0.388
20/4/2021,1268.28,1312.68,0.389
19/4/2021,1260.58,1306.22,0.389
16/4/2021,1238.71,1276.87,0.39
15/4/2021,1247.25,1284.2,0.39
14/4/2021,1255.87,1290.77,0.409
13/4/2021,1248.33,1277.35,0.41
12/4/2021,1252.45,1278.19,0.401
9/4/2021,1231.66,1253.26,0.393
8/4/2021,1234.89,1251.81,0.395
7/4/2021,1242.38,1257.77,0.394
6/4/2021,1239.96,1255.36,0.396
5/4/2021,1236.05,1249.9,0.405
2/4/2021,1224.45,1238.03,0.398
1/4/2021,1216.1,1226.16,0.398
31/3/2021,1191.44,1196.24,0.349
30/3/2021,1186.36,1190.86,0.349
29/3/2021,1175.68,1180.07,0.349
26/3/2021,1162.21,1167.19,0.351
25/3/2021,1163.1,1164.64,0.348
24/3/2021,1161.81,1165.61,0.348
23/3/2021,1183.45,1186.98,0.359
22/3/2021,1194.43,1198.54,0.356
19/3/2021,1194.05,1203.36,0.363
18/3/2021,1200.94,1211.54,0.37
17/3/2021,1186.09,1193.45,0.366
16/3/2021,1179.9,1187.84,0.375
15/3/2021,1184.56,1190.86,0.376
12/3/2021,1181.56,1187.81,0.359
